quantity,title,price,,img
2,Passeio de balão na Capadócia,"R$ 510,00",,https://cdn.getyourguide.com/img/tour/6f8c1bc2a3ef0b2c.jpeg/145.jpg
5,Hotel Istanbul,"R$ 500,00",,https://teresaperez.com.br/wp-content/uploads/2024/06/ciragan-palace-kempinski.jpg
,Quadro Decorativo para sala,"R$ 500,00",,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/30392/15029846.jpg
1,Jantar em restaurante turco,"R$ 250,00",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/d9/b5/17/360istanbul.jpg?w=900&h=-1&s=1
,Cadeira escritório,"R$ 450,00",,https://m.media-amazon.com/images/I/41TRGhODoqL._SL500_.jpg
2,SPA Kayakapi Caves – Capadócia,"R$ 600,00",,https://www.kayakapi.com/img/mehmet-tokat-evi-pool.jpg
,Travessas cerâmica,"R$ 220,00",,https://d2qdb2914189p2.cloudfront.net/Custom/Content/Products/19/90/19901_travessa-ceramica-para-gratinar-retangular-20x16cm-branca-staub-ceramicas-399014_m5_638205394499288700.jpg
1,Tour para Hagia Sophia,"R$ 270,00",,https://cdn.getyourguide.com/img/tour/996d03e26d567f972f9b039d3353758a176c63d7c820088f6246920da100fec8.png/145.jpg
,Jogo de Lençol 100% Algodão ,"R$ 550,00",,https://images-prod.mmartan.com.br/1536x1536/jpg/products/photos/semi-environment/_0003_cama-3---jogo-de-lencol-percal-100_-algodao-daily-mm180jdqa3150-1jpg-1705932754613.jpg
1,Tour para Cisterna da Basílica ,"R$ 210,00",,https://yerebatan.com/wp-content/uploads/2022/12/yerebatan-sergi-ogu5760-min-iXYK-scaled.jpg
,Travessas,"R$ 800,00",,https://ceramicabrennand.com/cdn/shop/products/A024_travessaoblonga_conjunto3.png?v=1656935150&width=1445
,Ventilador de Mesa,"R$ 270,00",,"https://m.media-amazon.com/images/I/71RnPd65OWL._AC_UF894,1000_QL80_DpWeblab_.jpg"
1,Tour para Mesquita Azul,"R$ 300,00",,https://cdn.getyourguide.com/img/tour/78caacbfdd4629dad38a85c8b16dc3cb12ddd3724946ab9f23e0585d7b456d5c.jpg/145.jpg
,Jogo de Lençol Bordado ,"R$ 1.000,00",,https://images-prod.mmartan.com.br/1536x1536/jpg/products/photos/semi-environment/cama-13---mmsofkcqa1060-mm200jdqa4130-eqn2pcont18bc-mmcapquaz1meli_0017_cama-13---mmsofkcqa1060-mm200jdqa4130-eqn2pcon-1696448189956.jpg
2,Banho turco privado,"R$ 270,00",,https://cdn.getyourguide.com/img/tour/3037412b619db68cc541c08b7517f2b10ef59021c51957498a5e8a7502c03154.jpeg/145.jpg
1,Visita a Torre Galata,"R$ 190,00",,https://cdn.getyourguide.com/img/tour/ba20e0ecd2fe544b6f1975f95f27736fdba9f5b46b0f2149880f8aba64e9bd14.jpg/145.jpg
1,Cruzeiro para pôr do sol Istanbul,"R$ 320,00",,https://cdn.getyourguide.com/img/tour/732c032072fc2b20792fa51b8823f8d7b4420af8ee30cdd5944f0f5c8dcd4dae.jpeg/145.jpg
,Airfryer,"R$ 280,00",,https://m.media-amazon.com/images/I/51NKkmrtVEL._AC_SL1200_.jpg
2,Viagem a Éfeso ,"R$ 600,00",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/25/05/bc/caption.jpg?w=1200&h=-1&s=1
10,Passagem para a viagem de lua de mel,"R$ 500,00",,https://passaportedigital.com/wp-content/uploads/2023/08/passagem-aerea.jpg
1,Jantar em Ulus 29 Istanbul,"R$ 350,00",,https://istanbultourstudio.s3.amazonaws.com/uploads/media_content/picture/1166/medium_Ulus29_7.jpg
1,Visita a Casa da Virgem Maria (Éfeso),"R$ 170,00",,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh71tSUCNEBsfMNG5u_OWzonGmeEp3zSOZZeTZ9hlK7wq-DQp-WBu4tfLAkgnpTi_E886xhFUJI5dQXaX5dsqLydLTftawjbVFbueopowpBVvmhUWU-_hFgH9-nHpsGxZsvQO2Nw4nrm8SK/w1200-h630-p-k-no-nu/casa+da+virgem+maria.jpg
,Conjunto panelas Solar Tramontina 6 peças,"R$ 588,00",,https://i.zst.com.br/thumbs/12/26/3d/8915361.jpg
2,Compras no Grand Bazaar Istanbul,"R$ 250,00",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQGZcxe9pjxgFaSTU1X8LYkvj-h4oGm4Kr7g&s
1,Visita a Mesquita de Chora,"R$ 170,00",,https://cdn.getyourguide.com/img/tour/3f2df6ebea9b9b91f877ef5773386f4bf1061a904818f94490ad6745933d4274.jpg/145.jpg
,Jogo de jantar (12 pratos),"R$ 240,00",,https://m.media-amazon.com/images/I/51Kws43ZScL._AC_SL1500_.jpg
1,Visita a Mesquita Süleymaniye,"R$ 140,00",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrwA3WfYEEPArUWP4PQatOZVPXmd5C1lZob-1OW_oS6_K4xY_yqDu0iG0mHeRmdyY2LyKR86FFKHc0Al3xhdSOlLJn7HQ1nMOH93zH2QqgD5CUC38MLCBhfR_biJnHkgKSxfaSa=s1360-w1360-h1020
2,Toalha Fio Egípcio Capri,"R$ 210,00",,https://images-prod.mmartan.com.br/1536x1536/jpg/products/photos/still/mmfiotbazcapnv-1707230168747.jpg
2,Hotel Capadócia,"R$ 550,00",,https://www.kayakapi.com/img/facilities.jpg
,Aparelho de Fondue,"R$ 190,00",,https://a-static.mlcdn.com.br/450x450/aparelho-fondue-base-giratoria-jogo-16-pecas-completo-aspen-chocolate-forma/larahomedecor/807959/3e709d03ad2fc9278ae5478f63bd9ebd.jpeg
2,SPA com Sauna - Capadócia,"R$ 350,00",,https://www.kayakapi.com/img/turkish-bath-1.jpg
,Torradeira,"R$ 170,00",,https://electrolux.vtexassets.com/arquivos/ids/212255/Toaster_ETS10_Perspective_Electrolux_1000x1000_Principal.jpg?v=637683649889970000
1,Tour Capadócia Vermelha,"R$ 190,00",,https://img.freepik.com/fotos-premium/vale-vermelho-na-capadocia-turquia_129479-3646.jpg
1,Cidade subterrânea Capadócia,"R$ 150,00",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-JY_1GEeACbxqnYFHeRQTJpo0TO2oYNcPEw&s
,Faqueiro em inox,"R$ 250,00",,https://m.media-amazon.com/images/I/51H8BeTuViL._AC_SL1200_.jpg
1,Tour Capadócia Verde,"R$ 220,00",,https://cdn.getyourguide.com/img/tour/7530c359d1b1c107e15aa358f809db9c5619a62aab2d5ee3f84cf6840f16d457.jpg/145.jpg
1,Parque Nacional de Göreme,"R$ 310,00",,https://media.istockphoto.com/id/1257203775/pt/foto/illuminated-goreme-vilage.jpg?s=612x612&w=0&k=20&c=QMFHrhFlu6bzy95RgKPubzeXUnXcwX4_PZSttqwCtXQ=
,Cafeteira elétrica,"R$ 140,00",,https://m.media-amazon.com/images/I/71cM7xwJqXL._AC_UL640_QL65_.jpg
1,Vale do amor Capadócia,"R$ 160,00",,https://s3.eu-west-1.amazonaws.com/itpweb/banner/doc/bb043d1ab2cd1b4d1ce823f13a90deec-64467bdc11c9c.jpg
1,Visita a Uchisar,"R$ 210,00",,https://upload.wikimedia.org/wikipedia/commons/c/c8/Cappadoce-Uchisar.jpg
,"Extrator de Sucos Turbo Premium, Mondial, Preto/Inox, 250W, Bivolt - E-10","R$ 180,00",,"https://m.media-amazon.com/images/I/815obUJiSQL._AC_UF894,1000_QL80_.jpg"
4,Baixela de inox,"R$ 180,00",,"https://m.media-amazon.com/images/I/51eHxzfPCYL._AC_UF894,1000_QL80_DpWeblab_.jpg"
,Taças de licor,"R$ 180,00",,https://d9a2b0af1mfg9.cloudfront.net/Custom/Content/Products/11/01/11017_58283-jogo-6-taca-p-licor-65ml-755676_m1_638071554244125196.png
,Conjunto de facas,"R$ 240,00",,https://electrolux.vtexassets.com/arquivos/ids/214622/Bloco_bambu_1000x1000-principal.jpg?v=637721977670100000
, Museu da arte turca e islâmica,"140,00",, https://cdn.getyourguide.com/img/tour/d3dfcadcb6a2cc1b4966f518485bd4d6a9f120c66da18ed499f7e6aa0bef82a7.jpg/145.jpg
,Balde de gelo,"R$ 250,00",,https://s3.wasabisys.com/frigo.smserver.com.br/balde-de-gelo-pequeno-de-inox-14-cm-com-pinca-11-lts-pegador-frigopro_f049.jpeg
,Centro de mesa,"R$ 870,00",,https://deezign.com.br/wp-content/uploads/2023/07/TIJELA-COM-ABAS-1200px-fr01-1.png
,Mesa de cabeceira (x2),"R$ 450,00",,https://tokstok.vteximg.com.br/arquivos/ids/30500852-624-auto/de-cabeceira-1-porta-de-correr-com-palhinha-palhandi-am-ndoa-natural-palhandi_st0.png?v=638588412075200000&width=624&height=auto&aspect=true
,Kit Travesseiros,"R$ 420,00",,https://images.tcdn.com.br/img/img_prod/627709/kit_travesseiro_04_pecas_100_algodao_200_fios_fascinio_c_fibra_siliconizada_ortobom_65573_3_20200218171413.jpg
,Palácio de Topkapi,"390,00",, https://cdn.getyourguide.com/img/tour/da47e343dc861ad9299365f7a2148818e5033d45663dae4cd57ac77460e6f72d.jpg/145.jpg
,Adega para vinhos,"R$ 700,00",,https://m.media-amazon.com/images/I/41fCl4OxihL._AC_SX679_.jpg
,Liquidificador,"R$ 150,00",,https://m.media-amazon.com/images/I/51oF48-a1BL._AC_SL1000_.jpg
,Frigobar Retrô Brastemp,"R$ 1.000,00",,"https://compracerta.vtexassets.com/arquivos/ids/959786/02_Brastemp_Compactos_BRA08HG_E-Commerce-013-.png?v=638508769711070000"
,Cafeteira nespresso,"R$ 400,00",,https://spicy.vtexassets.com/arquivos/ids/239867-800-auto?v=638810278980200000&width=800&height=auto&aspect=true
,Cafeteira italiana,"R$ 160,00",,https://m.media-amazon.com/images/I/515EE3sPQQL._AC_UL640_QL65_.jpg
,Taças para vinho cristal,"R$ 160,00",,https://m.media-amazon.com/images/I/51Qcu9w48NL._AC_UL640_QL65_.jpg
,Taças para champagne cristal,"R$ 150,00",,https://storage.googleapis.com/sonoma-pedidos-api.appspot.com/produtos/d08bc5c9-8e0c-4d99-ac7a-7fedddb90dd1.jpg
,Taças para cerveja,"R$ 130,00",,https://m.media-amazon.com/images/I/71I9bTESNGL._AC_SL1500_.jpg
,Aspirador de pó,"R$ 200,00",,https://m.media-amazon.com/images/I/31HFBpC3GhL._AC_SL1000_.jpg
,Microondas,"R$ 700,00",,https://m.media-amazon.com/images/I/51jWG1vyGyL._AC_SL1500_.jpg
,Blender,"R$ 200,00",,https://m.media-amazon.com/images/I/51VMglQARNL._AC_SL1000_.jpg
,Abridor de vinho elétrico,"R$ 190,00",,https://static-images-now.westwing.com.br/s/54863-0435-60717-1-product2.jpg
,Chaleira,"R$ 140,00",,https://cookstore.com.br/wp-content/uploads/2024/09/15209776936-65462-1.png
,Mini caçarola,"R$ 210,00",,https://m.media-amazon.com/images/I/41i0WwnAZNL._AC_UL640_QL65_.jpg
,Pipoqueira,"R$ 180,00",,https://m.media-amazon.com/images/I/51Xmjltu+FL._AC_UL640_QL65_.jpg
,Risoteira,"R$ 230,00",,https://m.media-amazon.com/images/I/41Idk0KGOFL._AC_UL640_QL65_.jpg
,Purifcador de água,"R$ 500,00",,https://sitedoseletros.com.br/wp-content/uploads/2024/04/Melhores-Purificadores-de-Agua-Custo-Beneficio.jpg
,Televisão da sala,"R$ 2.000,00",,https://m.media-amazon.com/images/I/61tXJTyJcFL._AC_UL640_QL65_.jpg