relevance,quantity,title,total_price,price,sold,available,img
0,2,Excursão de barco na ilha de James Bond (Krabi),460.0,230.0,0,True,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/53/f3/fc/caption.jpg?w=1200&h=-1&s=1
1,2,Mala Farm pequena,800.0,400.0,0,True,https://meninashoes.vtexassets.com/arquivos/ids/468470/683145P-Mala-Farm-Me-Leva-Folhagem-Cool-P-VARIACAO2.jpg?v=638439501583130000
2,2,Hoi An cooking class,310.0,310.0,0,True,https://hiddenhoian.com/wp-content/uploads/2018/10/the-instructor-shows-some-decorative-techniques-with-vegetables-at-the-tre-que-water-wheel-cookig-class.-photo-kristen-wells.jpg
3,2,Hospedagem na província de Krabi,980.0,490.0,0,True,https://cf.bstatic.com/xdata/images/hotel/max1280x900/242939248.jpg?k=fa9751e680bb71f0426deac98d83d91113b0c828e6bd721378d7aa61d02b2c27&o=&hp=1
4,1,Torradeira,170.0,170.0,0,True,https://electrolux.vtexassets.com/arquivos/ids/212255/Toaster_ETS10_Perspective_Electrolux_1000x1000_Principal.jpg?v=637683649889970000
5,2,Viagem 1 dia de Bangkok para Ayutthaya com Mercado Flutuante,290.0,290.0,0,True,https://cdn.getyourguide.com/img/tour/5e4e02a389b97.jpeg/145.jpg
6,5,Quadro Decorativo para sala,2500.0,500.0,0,True,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/30392/15029846.jpg
7,1,"Extrator de Sucos Turbo Premium, Mondial, Preto/Inox, 250W, Bivolt - E-10",180.0,180.0,0,True,"https://m.media-amazon.com/images/I/815obUJiSQL._AC_UF894,1000_QL80_.jpg"
8,2,Dia no santuário de elefantes em Chiang Mai,980.0,490.0,0,True,https://www.civitatis.com/f/tailandia/chiang-mai/excursion-santuario-elefantes-chiang-mai-grid.jpg
9,10,Baixelas de inox,1800.0,180.0,0,True,"https://m.media-amazon.com/images/I/51eHxzfPCYL._AC_UF894,1000_QL80_DpWeblab_.jpg"
10,24,Passagem SP - Bangkok,6540.0,545.0,0,True,https://conteudo.imguol.com.br/c/entretenimento/35/2022/02/24/passagens-aereas-1645725121422_v2_900x506.jpg
11,1,Taças de licor,180.0,180.0,0,True,https://d9a2b0af1mfg9.cloudfront.net/Custom/Content/Products/11/01/11017_58283-jogo-6-taca-p-licor-65ml-755676_m1_638071554244125196.png
12,2,Excursão Long Tail Boat Phi Phi Island,300.0,300.0,0,True,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0d/3f/44/da.jpg
13,2,Hospedagem Chiang Mai,190.0,380.0,0,True,https://media.staticontent.com/media/pictures/34d2cdf9-587f-4fe1-9427-205578a86a5a
14,4,Hospedagem Phuket,1000.0,250.0,0,True,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/a9/f4/b4/pool--v3607297.jpg?w=2400&h=-1&s=1
15,2,Hospedagem Phi Phi,500.0,250.0,0,True,https://cf.bstatic.com/xdata/images/hotel/max1280x900/134526748.jpg?k=adfd4eb94f9ae1136b70bf285027f41763c619fd8f4fc95ea349f9e4cd405e0c&o=&hp=1
16,1,Aparelho de Fondue,190.0,190.0,0,True,https://a-static.mlcdn.com.br/450x450/aparelho-fondue-base-giratoria-jogo-16-pecas-completo-aspen-chocolate-forma/larahomedecor/807959/3e709d03ad2fc9278ae5478f63bd9ebd.jpeg
17,1,Visita ao Grand Palace + Wat Pho Bangkok,200.0,200.0,0,True,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/fa/e1/ce.jpg
18,2,Excursão de mergulho com snorkel em Phi Phi e Bamboo com almoço em lancha,750.0,380.0,0,True,https://media.tacdn.com/media/attractions-splice-spp-360x240/08/a3/6b/14.jpg
19,15,Bagagem extra (avião),3000.0,200.0,0,True,https://s3.glbimg.com/v1/AUTH_35862ca5c6ab48b992baf1f1b4f7062e/m-extra-globo-com/incoming/23975744-444-3fc/w488h275-PROP/bagagem.jpg
20,2,Passeio pelas ilhas de Hong ,630.0,315.0,0,True,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV6FkSwtVCL226mEmwlKuH78j7a9uv1JUsuQY0QT7N9Q&s
21,4,Toalha Fio Egípcio Capri,210.0,210.0,0,True,https://images-prod.mmartan.com.br/1536x1536/jpg/products/photos/still/mmfiotbazcapnv-1707230168747.jpg
22,1,Excursão pelo canal de Bangkok de barco,320.0,320.0,0,True,https://cdn.paytour.com.br/assets/images/passeios-2500481/ccb096a7590e9d445eb98e2004535ad7/20221228%20-%20Passeio%20barco%20pelos%20canais%20de%20Bangkok%20e%20Wat%20Paknam%20-%2075.jpg
23,2,Hospedagem Phi Phi,500.0,250.0,0,True,https://cf.bstatic.com/xdata/images/hotel/max1280x900/30636980.jpg?k=89d6d34800b4924c6661943d9ab2c99c69efad34f7935e575dcba17c801e9b60&o=&hp=1
24,4,Travessas cerâmica,220.0,220.0,0,True,https://d2qdb2914189p2.cloudfront.net/Custom/Content/Products/19/90/19901_travessa-ceramica-para-gratinar-retangular-20x16cm-branca-staub-ceramicas-399014_m5_638205394499288700.jpg
25,4,Hospedagem Bangkok,840.0,210.0,0,True,https://cf.bstatic.com/xdata/images/hotel/max1280x900/550110774.jpg?k=a6a7deea68b84a37f2dedae3ac635b98e0858554ee18131f2270652791fc4a03&o=&hp=1
26,2,Hospedagem Ho Chi Mi,700.0,350.0,0,True,https://cf.bstatic.com/xdata/images/hotel/max1280x900/504075829.jpg?k=0be608b63d6566cf5d71d8533b5faaf83111d694477a60355ffb684e56d97f61&o=&hp=1
27,4,Vietnã: Ponte dourada e Ba Na Hills com teleférico,930.0,310.0,0,True,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/e7/e0/caption.jpg?w=1200&h=-1&s=1
28,1,Conjunto de facas,240.0,240.0,0,True,https://electrolux.vtexassets.com/arquivos/ids/214622/Bloco_bambu_1000x1000-principal.jpg?v=637721977670100000
29,2,Excursão Chiang Mai - Chiang Rai + Tribo Long Neck Hill com barco,920.0,460.0,0,True,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/af/82/c1.jpg
30,4,Pearl Dinner Cruise em Bangkok,620.0,310.0,0,True,"https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1200,h_630/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/ra9ppcmnksiqt1ms2onh/Wonderful%20Pearl%20Dinner%20Cruise%20in%20Bangkok%2C%20Thailand.jpg"
31,2,Passagens internas de trechos Tailândia e Vietnã,3000.0,1500.0,0,True,https://conteudo.imguol.com.br/c/entretenimento/35/2022/02/24/passagens-aereas-1645725121422_v2_900x506.jpg
32,1,Balde de gelo,250.0,250.0,0,True,https://s3.wasabisys.com/frigo.smserver.com.br/balde-de-gelo-pequeno-de-inox-14-cm-com-pinca-11-lts-pegador-frigopro_f049.jpeg
33,2,Aula de culinária tailandesa na fazenda orgânica em Chiang Mai,270.0,270.0,0,True,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/19/17/b5/caption.jpg?w=500&h=400&s=1
34,4,Passagem Hanoi - Bangkok ,640.0,320.0,0,True,https://conteudo.imguol.com.br/c/entretenimento/35/2022/02/24/passagens-aereas-1645725121422_v2_900x506.jpg
35,1,Ventilador de Mesa Desmontável Arno Xtreme Force Breeze 40cm,270.0,270.0,0,True,"https://m.media-amazon.com/images/I/71RnPd65OWL._AC_UF894,1000_QL80_DpWeblab_.jpg"
36,3,Excursão vespa vintage em Ho Chi Mi,810.0,270.0,0,True,https://cdn.getyourguide.com/img/tour/a4ce9955e7544a7e07a5cb54562b9c6e000bc1fb9e0f963f215a12a46a5d22c5.jpg/145.jpg
37,2,Mala Grande Samsonite,990.0,990.0,0,True,https://samsonite.com.br/cdn/shop/files/297e3a4198bc35498c37dd987cfe1ff6b8c7fa1d6a9e3f6fdf8ef09f82760953.png?v=1712782012&width=823
38,2,Food Tour Hanoi,275.0,275.0,0,True,https://statics.vinwonders.com/hanoi-street-food-tour-01_1686742160.jpg
39,3,Centro de mesa (Tigela com abas - cerâmica Brennand),870.0,290.0,0,True,https://deezign.com.br/wp-content/uploads/2023/07/TIJELA-COM-ABAS-1200px-fr01-1.png
40,2,Passagem Ho Chi Mi - Danang,290.0,290.0,0,True,https://conteudo.imguol.com.br/c/entretenimento/35/2022/02/24/passagens-aereas-1645725121422_v2_900x506.jpg
41,4,Cruzeiro em Halong Bay 2 dias ,1400.0,350.0,0,True,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/dc/10/a9/caption.jpg?w=1200&h=-1&s=1
42,2,Passagem REC-SP,840.0,840.0,0,True,https://conteudo.imguol.com.br/c/entretenimento/35/2022/02/24/passagens-aereas-1645725121422_v2_900x506.jpg
43,7,Escutultura de parede,2520.0,360.0,0,True,https://www.venica.com.br/cdn/shop/products/3317-risk-leonardo-bueno-1-1200_1200x.jpg?v=1675709662
44,2,Passagem Bangkok - Chiang Mai,370.0,370.0,0,True,https://conteudo.imguol.com.br/c/entretenimento/35/2022/02/24/passagens-aereas-1645725121422_v2_900x506.jpg
45,8,Ar Condicionado Split Hw Elgin Eco Inverter II Wifi 18000 Btus R-32 Frio 220V Monofásico 45HJFI18C2WB,3800.0,380.0,0,True,https://a-static.mlcdn.com.br/450x450/ar-condicionado-split-hw-elgin-eco-inverter-ii-wifi-18000-btus-r-32-frio-220v-monofasico-45hjfi18c2wb/centralar/3435/3dad5d26364dfdb234590206193ce194.jpeg
46,2,Passagem Chiang Mai - Phuket,390.0,390.0,0,True,https://conteudo.imguol.com.br/c/entretenimento/35/2022/02/24/passagens-aereas-1645725121422_v2_900x506.jpg
47,4,Travessa M (Cerâmica Brennand),800.0,400.0,0,True,https://ceramicabrennand.com/cdn/shop/products/A024_travessaoblonga_conjunto3.png?v=1656935150&width=1445
48,2,Passagem Phuket - Phi Phi,350.0,350.0,0,True,https://conteudo.imguol.com.br/c/entretenimento/35/2022/02/24/passagens-aereas-1645725121422_v2_900x506.jpg
49,6,Cristaleira Vintage,2400.0,400.0,0,True,https://cdn.atelierclassico.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/r/cristaleira-luis-xv-madeira-macica-imbuia-pinturas-customizadas_2_.jpg
50,2,Passagem Hoi An - Danang - Hanoi,340.0,340.0,0,True,https://conteudo.imguol.com.br/c/entretenimento/35/2022/02/24/passagens-aereas-1645725121422_v2_900x506.jpg
51,3,Ovo (cerâmica Brennand),420.0,420.0,0,True,https://http2.mlstatic.com/D_NQ_NP_908988-MLB46313675320_062021-O.webp
52,2,Passeio de moto em Hanoi,540.0,270.0,0,True,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/98/90/e0/caption.jpg?w=500&h=400&s=1
53,2,Mesa de cabeceira,450.0,450.0,0,True,https://www.muma.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/e/mesa-cabeceira-leblon-1g-lado-zoom.jpg
54,2,Viagem por Ho Chi Minh City e Cu Chi Tunnels ,850.0,425.0,0,True,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/74/bb/08.jpg
55,1,Cadeira escritório,450.0,450.0,0,True,https://abracasa.vteximg.com.br/arquivos/ids/179069/cadeira-de-escritorio-toledo-giratoria-preta-diagonal.jpg?v=637820018979930000
56,2,Excursão de meio dia em Bangkok - 3 templos,920.0,460.0,0,True,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/6c/d5/fa/caption.jpg?w=1200&h=-1&s=1
57,3,Mesa da varanda,1560.0,520.0,0,True,https://images.tcdn.com.br/img/img_prod/933579/mesa_de_jantar_cone_80_cm_laqueada_95_1_ea10376851cc62f18344aeb4743ab011.png
58,1,Passeio mercado flutuante com pedalinho e trem em Bangkok,290.0,290.0,0,True,https://cdn.getyourguide.com/img/tour/ad94ebf9dec08d82.jpeg/145.jpg
59,1,Jogo de Lençol Percal 100% Algodão Daily (mmartan),549.0,549.0,0,True,https://images-prod.mmartan.com.br/1536x1536/jpg/products/photos/semi-environment/_0003_cama-3---jogo-de-lencol-percal-100_-algodao-daily-mm180jdqa3150-1jpg-1705932754613.jpg
60,1,"Passeio de lancha por Phi Phi, Khai e Maya",610.0,610.0,0,True,https://tours.co.th/wp-content/uploads/2022/03/phi-phi-islands-maya-bay-khai-islands-by-speedboat-6.jpg
61,1,Conjunto panelas Solar Tramontina 6 peças,588.0,588.0,0,True,https://i.zst.com.br/thumbs/12/26/3d/8915361.jpg
62,2,Passagem Krabi - Ho Chi Mi,630.0,630.0,0,True,https://conteudo.imguol.com.br/c/entretenimento/35/2022/02/24/passagens-aereas-1645725121422_v2_900x506.jpg
63,1,Mala de mão Samsonite,660.0,660.0,0,True,https://samsonite.com.br/cdn/shop/files/c72c5e60ab9f0bd7e6fa551244fcad215122556295439fcec3c9b2d91500943b.png?v=1712781917&width=823
64,1,Caixa para faqueiro,695.0,695.0,0,True,https://www.matissecasa.com.br/upload/produto/imagem/b_estojo-para-faqueiro-130-pe-as-st-james-laca-fendi.jpg
65,1,Excursão de barco por Ayuttahaya no por do sol (para o casal),700.0,700.0,0,True,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/a6/35/2f/caption.jpg?w=1200&h=-1&s=1
66,1,Kit Travesseiros,420.0,420.0,0,True,https://images.tcdn.com.br/img/img_prod/627709/kit_travesseiro_04_pecas_100_algodao_200_fios_fascinio_c_fibra_siliconizada_ortobom_65573_3_20200218171413.jpg
